iter,loss,acc
0,2.33502,0.1025
10,2.30944,0.0911
20,2.30113,0.0962
30,2.29966,0.1028
40,2.29843,0.1009
50,2.29675,0.1028
60,2.29257,0.1615
70,2.29415,0.1295
80,2.28936,0.1457
90,2.28693,0.1135
100,2.28591,0.1497
110,2.28491,0.127
120,2.28164,0.1135
130,2.27757,0.2505
140,2.27455,0.1911
150,2.27122,0.1797
160,2.26894,0.178
170,2.26729,0.1832
180,2.26374,0.1154
190,2.25823,0.1797
200,2.25347,0.3597
210,2.24748,0.2986
220,2.24383,0.3789
230,2.23767,0.2557
240,2.23328,0.3493
250,2.22662,0.3016
260,2.22038,0.313
270,2.21153,0.3688
280,2.20393,0.4675
290,2.19527,0.3083
300,2.18638,0.3915
310,2.17685,0.3801
320,2.16335,0.3524
330,2.15047,0.3313
340,2.13711,0.3638
350,2.12265,0.4411
360,2.1096,0.3884
370,2.09143,0.4082
380,2.07211,0.3639
390,2.05452,0.4554
400,2.03715,0.471
410,2.0114,0.451
420,1.98934,0.4939
430,1.96899,0.508
440,1.942,0.5004
450,1.91718,0.4691
460,1.89425,0.4315
470,1.86724,0.4147
480,1.83907,0.5283
490,1.81342,0.5065
500,1.78476,0.5017
510,1.75623,0.4719
520,1.72696,0.5207
530,1.69873,0.5565
540,1.67098,0.5619
550,1.64455,0.5466
560,1.61656,0.5408
570,1.58641,0.5639
580,1.55802,0.5712
590,1.52968,0.598
600,1.5057,0.5906
610,1.47954,0.6133
620,1.45236,0.6073
630,1.42705,0.6204
640,1.4022,0.6101
650,1.37537,0.6228
660,1.34884,0.6415
670,1.32803,0.6494
680,1.30281,0.6435
690,1.28294,0.6295
700,1.26058,0.645
710,1.23704,0.6447
720,1.21738,0.6741
730,1.19944,0.6539
740,1.17774,0.6807
750,1.16187,0.7107
760,1.1418,0.6858
770,1.12297,0.6933
780,1.10888,0.7045
790,1.0915,0.6984
800,1.07463,0.7237
810,1.05934,0.7074
820,1.04683,0.7228
830,1.03211,0.7369
840,1.01789,0.7246
850,1.00469,0.7366
860,0.992109,0.7329
870,0.981024,0.7437
880,0.968329,0.7497
890,0.957473,0.7447
900,0.947359,0.7374
910,0.937841,0.7341
920,0.92427,0.7452
930,0.913869,0.7595
940,0.904245,0.7468
950,0.893287,0.7631
960,0.884618,0.7574
970,0.874157,0.7691
980,0.865652,0.7663
990,0.859496,0.7626
1000,0.849058,0.7714
1010,0.840032,0.7872
1020,0.831974,0.7922
1030,0.821589,0.7962
1040,0.814503,0.7923
1050,0.807262,0.7871
1060,0.798381,0.8054
1070,0.788725,0.7975
1080,0.783795,0.7907
1090,0.774538,0.7994
1100,0.767695,0.8031
1110,0.761313,0.8003
1120,0.753704,0.8064
1130,0.748483,0.8058
1140,0.740433,0.8155
1150,0.731737,0.8183
1160,0.725248,0.8171
1170,0.71843,0.8189
1180,0.712321,0.8219
1190,0.707905,0.8205
1200,0.699954,0.8214
1210,0.691042,0.8257
1220,0.685313,0.8295
1230,0.679949,0.8291
1240,0.673747,0.8292
1250,0.668301,0.831
1260,0.663104,0.8312
1270,0.656947,0.8336
1280,0.652102,0.8329
1290,0.646626,0.8388
1300,0.640594,0.8412
1310,0.634948,0.8411
1320,0.630472,0.8408
1330,0.626718,0.8458
1340,0.620657,0.8428
1350,0.615255,0.8454
1360,0.610411,0.8473
1370,0.606937,0.8467
1380,0.601539,0.8487
1390,0.598333,0.8483
1400,0.593527,0.8527
1410,0.588634,0.8514
1420,0.585119,0.8545
1430,0.581739,0.8561
1440,0.576583,0.8567
1450,0.572066,0.8577
1460,0.567217,0.8583
1470,0.564122,0.8561
1480,0.560496,0.8577
1490,0.557308,0.8598
1500,0.552884,0.8628
1510,0.548749,0.8615
1520,0.545829,0.862
1530,0.542646,0.8646
1540,0.538254,0.8634
1550,0.534855,0.8658
1560,0.532909,0.8645
1570,0.528316,0.8672
1580,0.527642,0.8664
1590,0.522689,0.8677
1600,0.519219,0.8671
1610,0.516512,0.8673
1620,0.513561,0.8688
1630,0.512419,0.8677
1640,0.510738,0.8708
1650,0.506023,0.8679
1660,0.503988,0.8688
1670,0.500457,0.8725
1680,0.497001,0.8745
1690,0.496027,0.8724
1700,0.495005,0.8734
1710,0.491258,0.8738
1720,0.488385,0.8714
1730,0.48627,0.8729
1740,0.483326,0.8732
1750,0.48137,0.874
1760,0.479797,0.8758
1770,0.479471,0.8768
1780,0.47469,0.8759
1790,0.472618,0.8764
1800,0.469282,0.8798
1810,0.466999,0.8797
1820,0.464946,0.8808
1830,0.462495,0.8804
1840,0.462753,0.8804
1850,0.460788,0.8821
1860,0.457353,0.8801
1870,0.457162,0.8793
1880,0.456657,0.8811
1890,0.452103,0.883
1900,0.44903,0.8824
1910,0.44743,0.8827
1920,0.445641,0.8834
1930,0.444651,0.8833
1940,0.44174,0.885
1950,0.439967,0.8843
1960,0.438991,0.8844
1970,0.437445,0.8848
1980,0.435765,0.8858
1990,0.435063,0.8848
2000,0.432673,0.8855
2010,0.432357,0.8855
2020,0.430101,0.8833
2030,0.429707,0.8861
2040,0.426769,0.8875
2050,0.424934,0.888
2060,0.425041,0.8871
2070,0.422823,0.8867
2080,0.422312,0.889
2090,0.420047,0.8894
2100,0.418526,0.8895
2110,0.416847,0.8906
2120,0.415235,0.8899
2130,0.413679,0.8888
2140,0.414117,0.8886
2150,0.410998,0.8905
2160,0.411164,0.8902
2170,0.410662,0.8906
2180,0.408937,0.8906
2190,0.408901,0.8906
2200,0.404922,0.8904
2210,0.403139,0.8913
2220,0.402292,0.8924
