iter,loss,acc
0,2.38207,0.0982
10,2.32512,0.1009
20,2.32576,0.1032
30,2.32737,0.0982
40,2.31924,0.0958
50,2.33462,0.1032
60,2.33158,0.0892
70,2.32424,0.101
80,2.32929,0.098
90,2.33549,0.0892
100,2.32463,0.0974
110,2.32933,0.098
120,2.31888,0.0982
130,2.31675,0.098
140,2.30928,0.1135
150,2.33451,0.1135
160,2.31897,0.0958
170,2.32298,0.0974
180,2.31765,0.101
190,2.31096,0.1135
200,2.32094,0.1028
210,2.31107,0.101
220,2.32309,0.1009
230,2.34659,0.098
240,2.32024,0.0974
250,2.33161,0.1009
260,2.31579,0.0958
270,2.30642,0.0958
280,2.31175,0.1032
290,2.33139,0.0958
300,2.32289,0.1135
310,2.31309,0.098
320,2.31842,0.1032
330,2.32966,0.098
340,2.32706,0.0974
350,2.30879,0.1135
360,2.32296,0.1135
370,2.33046,0.1135
380,2.32004,0.1009
390,2.34266,0.1135
400,2.31658,0.1135
410,2.33428,0.0892
420,2.3197,0.0982
430,2.3178,0.1009
440,2.30563,0.1135
450,2.31798,0.0958
460,2.33138,0.0892
470,2.3219,0.0974
480,2.34611,0.098
490,2.31503,0.0892
500,2.31234,0.1028
510,2.31934,0.1028
520,2.3102,0.1135
530,2.30841,0.1135
540,2.33203,0.0892
550,2.30968,0.1136
560,2.32763,0.0958
570,2.31334,0.1032
580,2.32765,0.0958
590,2.3243,0.1009
600,2.32884,0.0982
610,2.32015,0.0974
620,2.30514,0.1135
630,2.33107,0.0958
640,2.3114,0.101
650,2.31927,0.1135
660,2.31598,0.1135
670,2.3166,0.0958
680,2.30847,0.1747
690,2.31579,0.0958
700,2.31379,0.0982
710,2.31388,0.0982
720,2.31401,0.0892
730,2.31361,0.1135
740,2.30223,0.1135
750,2.31068,0.098
760,2.3117,0.1028
770,2.31025,0.1368
780,2.30994,0.101
790,2.30509,0.1135
800,2.29856,0.1028
810,2.3084,0.0892
820,2.30138,0.1896
830,2.30534,0.0982
840,2.32112,0.1028
850,2.31051,0.1028
860,2.30208,0.1138
870,2.30932,0.1144
880,2.296,0.1147
890,2.30642,0.0892
900,2.2994,0.1137
910,2.30904,0.0974
920,2.29887,0.1135
930,2.31867,0.0982
940,2.3013,0.1028
950,2.31913,0.1032
960,2.2978,0.1143
970,2.29649,0.1135
980,2.29435,0.192
990,2.29541,0.1325
1000,2.29944,0.1009
1010,2.30329,0.1028
