iter,loss,acc
0,2.35913,0.1079
10,2.07485,0.3095
20,1.86789,0.5391
30,1.71376,0.5635
40,1.59323,0.5653
50,1.42443,0.6805
60,1.31831,0.7484
70,1.2338,0.7158
80,1.1399,0.7716
90,1.07766,0.7585
100,1.0075,0.7939
110,0.961977,0.784
120,0.906937,0.8206
130,0.863802,0.8278
140,0.840554,0.8119
150,0.810811,0.8137
160,0.760859,0.8391
170,0.744441,0.8281
180,0.719165,0.8462
190,0.703935,0.8365
200,0.674618,0.8515
210,0.666588,0.8505
220,0.640535,0.8615
230,0.637816,0.8442
240,0.614577,0.8527
250,0.599974,0.8595
260,0.588365,0.8661
270,0.58613,0.8552
280,0.563607,0.8669
290,0.5577,0.8653
300,0.549081,0.8687
310,0.540926,0.8711
320,0.531413,0.8708
330,0.528334,0.8656
340,0.520653,0.8702
350,0.513836,0.8741
360,0.502773,0.8781
370,0.499658,0.8775
380,0.494156,0.8769
390,0.484759,0.8789
400,0.484402,0.8779
410,0.473463,0.8825
420,0.475841,0.8817
430,0.468296,0.8813
440,0.461169,0.8832
450,0.456954,0.8855
460,0.454686,0.8842
470,0.460581,0.8788
480,0.447698,0.8854
490,0.445326,0.8809
500,0.439325,0.8841
510,0.439534,0.8836
520,0.441615,0.8875
530,0.433482,0.8854
540,0.431461,0.8832
550,0.428261,0.8873
560,0.424193,0.8858
570,0.41944,0.8911
580,0.417061,0.8886
590,0.415518,0.8895
600,0.415884,0.8874
610,0.404982,0.893
620,0.406435,0.8933
630,0.407412,0.8921
640,0.401099,0.8935
650,0.401906,0.8932
660,0.397885,0.8949
670,0.399038,0.8945
680,0.395537,0.8944
690,0.395097,0.8953
700,0.392753,0.893
710,0.389705,0.8958
720,0.386717,0.8944
730,0.386789,0.8952
740,0.384701,0.896
750,0.38189,0.896
760,0.383873,0.8984
770,0.377128,0.8984
780,0.378483,0.8965
790,0.379333,0.8957
800,0.380992,0.8955
810,0.379866,0.8935
820,0.372295,0.8988
830,0.370179,0.8989
840,0.375838,0.897
850,0.374245,0.8987
860,0.371167,0.8989
870,0.367961,0.8998
880,0.365352,0.8985
890,0.368104,0.899
900,0.36537,0.8983
910,0.361662,0.902
920,0.368444,0.9001
930,0.360711,0.9036
940,0.361145,0.9009
950,0.358986,0.903
960,0.357697,0.9033
970,0.356274,0.9014
980,0.353427,0.9034
990,0.352875,0.9034
1000,0.355532,0.9024
1010,0.354521,0.9022
1020,0.362534,0.8981
1030,0.350263,0.9033
1040,0.34775,0.9049
1050,0.348948,0.9047
1060,0.345218,0.9044
1070,0.348237,0.9023
1080,0.344563,0.9044
1090,0.343459,0.905
1100,0.345198,0.9049
1110,0.347513,0.9036
1120,0.345976,0.9045
1130,0.345492,0.9031
1140,0.346734,0.904
1150,0.340165,0.9062
1160,0.345353,0.9051
1170,0.338854,0.9057
1180,0.341182,0.9031
1190,0.339767,0.9058
1200,0.339086,0.9048
1210,0.339132,0.9035
