iter,loss,acc
0,4.18411,0.1709
10,2.79725,0.6481
20,1.06463,0.7473
30,3.07232,0.5857
40,0.57123,0.8564
50,0.786402,0.8103
60,0.544539,0.8625
70,0.421323,0.8927
80,0.456705,0.8817
90,0.49034,0.8787
100,0.489102,0.876
110,0.517819,0.8705
120,0.479515,0.8799
130,0.417885,0.8895
140,0.796432,0.7983
150,0.579179,0.8616
160,0.570686,0.8542
170,0.41388,0.8925
180,0.397402,0.9001
190,0.379284,0.9027
200,0.412347,0.888
210,0.415322,0.8897
220,0.411427,0.8853
230,0.379634,0.8963
240,0.39986,0.8918
250,0.469572,0.8737
260,0.378844,0.9031
270,0.445376,0.8873
280,0.404201,0.8977
290,0.574002,0.851
300,0.368444,0.9074
310,0.531224,0.8663
320,0.404174,0.8971
330,0.400078,0.8921
340,0.43165,0.8912
350,0.397534,0.8947
360,0.630159,0.845
370,0.381627,0.9016
380,0.346037,0.9118
390,0.699995,0.848
400,0.351745,0.9118
410,0.392573,0.9023
420,0.562586,0.8623
430,0.375206,0.9083
440,0.391369,0.8953
450,0.515004,0.8634
460,0.423422,0.8936
470,0.898776,0.8189
480,0.5104,0.8747
490,0.44073,0.885
500,0.384639,0.9081
510,0.420437,0.8942
520,0.380481,0.9063
530,0.376996,0.9059
540,0.388141,0.9006
550,0.429303,0.8862
560,1.05625,0.8127
570,0.354457,0.9071
580,0.458674,0.885
590,0.400008,0.8973
600,0.92107,0.7971
610,0.480323,0.8731
620,0.365337,0.9096
630,0.384884,0.8993
640,0.430831,0.8875
650,0.354137,0.9097
660,0.382435,0.9
670,0.4195,0.892
680,0.365652,0.9061
690,0.355747,0.9129
700,0.38419,0.9071
710,0.39788,0.9036
720,0.352764,0.9081
730,0.430035,0.8849
740,0.353267,0.9084
750,0.508861,0.8681
760,0.479843,0.8748
770,0.419812,0.8971
780,0.376121,0.903
790,0.361263,0.91
800,0.439152,0.8845
810,0.41057,0.8944
820,0.498682,0.8744
830,0.394371,0.9058
840,0.693299,0.8395
850,0.531861,0.8641
860,0.368635,0.9121
870,0.492825,0.8718
880,0.412772,0.8897
890,0.404749,0.9019
900,0.357522,0.9077
910,0.419071,0.8868
920,0.366917,0.9068
930,0.379048,0.8993
940,0.442287,0.8802
950,0.37073,0.9055
960,0.363321,0.91
970,0.345081,0.913
980,0.409306,0.8939
990,0.370912,0.9117
1000,0.390658,0.9037
1010,0.574557,0.8543
1020,0.36206,0.9106
1030,0.375337,0.9083
1040,0.354354,0.9097
1050,0.326392,0.9203
1060,0.387792,0.8996
1070,0.486378,0.8821
1080,0.399198,0.9002
1090,0.369343,0.9062
1100,0.3461,0.9086
1110,0.410968,0.8939
1120,0.373325,0.9005
1130,0.431379,0.8884
1140,0.344392,0.9156
1150,0.381655,0.8979
1160,0.390347,0.8993
1170,0.352008,0.9086
1180,0.37834,0.9056
1190,0.370009,0.9036
1200,0.368203,0.904
1210,0.468464,0.8839
1220,0.370688,0.9055
1230,0.340415,0.9146
1240,0.380807,0.904
1250,0.363458,0.9063
1260,0.3679,0.9084
1270,0.387744,0.9039
1280,0.350394,0.9084
1290,0.342148,0.9137
1300,0.411895,0.8955
1310,0.406249,0.8907
1320,0.383248,0.8977
1330,0.333573,0.9135
1340,0.349297,0.9087
1350,0.346927,0.9103
1360,0.378045,0.8991
1370,0.782344,0.8285
1380,0.432477,0.8871
